image,label
leptodactylus_pentadactylus_s_000004.png,6
camion_s_000148.png,9
tipper_truck_s_001250.png,9
american_elk_s_001521.png,4
station_wagon_s_000293.png,1
coupe_s_001735.png,1
cassowary_s_001300.png,2
cow_pony_s_001168.png,7
sea_boat_s_001584,8
tabby_s_001355,3
muntjac_s_001000,4
arabian_s_001354,7
quarter_horse_s_000672,7
passerine_s_000343,2
camion_s_001895,9
trailer_truck_s_000335,9
dumper_s_000821,9
alley_cat_s_000200,3
accentor_s_000677,2
frog_s_001671,6
capreolus_capreolus_s_000051,4
tomcat_s_000772,3
pickerel_frog_s_000446,6
bufo_s_001242,6
cassowary_s_001246,2
toad_s_001748,6
cat_s_000081,3
chihuahua_s_000825,5
alces_alces_s_000959,4
stealth_bomber_s_000554,0
twinjet_s_000663,0
trucking_rig_s_001402,9
auto_s_000609,1
tabby_cat_s_000983,3
wapiti_s_000416,4
monoplane_s_000895,0
true_cat_s_000247,3
tennessee_walker_s_000486,7
house_cat_s_000243,3
house_cat_s_001196,3
pekinese_s_001337,5
ostrich_s_001368,2
ostrich_s_001150,2
stallion_s_000046,7
station_waggon_s_000041,1
coupe_s_001944,1
estate_car_s_000580,1
accentor_s_000759,2
emu_novaehollandiae_s_000795,2
dive_bomber_s_001390,0
articulated_lorry_s_000131,9
pekinese_s_001093,5
broodmare_s_001463,7
delivery_truck_s_000834,9
songbird_s_001052,2
emu_s_000692,2
puppy_s_000115,5
wagtail_s_001821,2
dama_dama_s_000658,4
domestic_cat_s_001970,3
ambulance_s_003039,1
convertible_s_001763,1
tank_ship_s_001229,8
cassowary_s_001055,2
wagon_s_001142,1
police_cruiser_s_000620,1
moose_s_002308,4
aerial_ladder_truck_s_000584,9
saddle_horse_s_000717,7
tanker_s_001350,8
mongrel_s_001571,5
truck_s_000835,9
pickerel_frog_s_001195,6
lipizzan_s_000399,7
tabby_s_000074,3
automobile_s_001887,1
moving_van_s_001665,9
attack_aircraft_s_000153,0
domestic_cat_s_001596,3
compact_car_s_000048,1
domestic_cat_s_000009,3
pekingese_s_002089,5
capreolus_capreolus_s_001095,4
blenheim_spaniel_s_001103,5
stallion_s_000040,7
stud_mare_s_001672,7
elk_s_000920,4
lipizzan_s_001123,7
fire_truck_s_002721,9
elk_s_001888,4
finch_s_000750,2
tabby_s_000880,3
banana_boat_s_001324,8
twinjet_s_000591,0
shooting_brake_s_000029,1
rana_pipiens_s_000101,6
station_wagon_s_001387,1
station_wagon_s_002712,1
odocoileus_hemionus_s_000221,4
convertible_s_001715,1
abandoned_ship_s_000574,8
true_cat_s_000114,3
dustcart_s_000063,9
frog_s_000797,6
green_frog_s_001320,6
compact_car_s_001038,1
freighter_s_001351,8
mutt_s_000251,5
accentor_s_000303,2
lorry_s_001154,9
fire_truck_s_000894,9
cargo_vessel_s_000731,8
cruiser_s_000774,1
lippizan_s_000359,7
broodmare_s_001741,7
fighter_aircraft_s_000876,0
amphibious_aircraft_s_000216,0
leopard_frog_s_000339,6
trucking_rig_s_001315,9
shooting_brake_s_000886,1
pipit_s_000549,2
ostrich_s_002148,2
trucking_rig_s_001600,9
alauda_arvensis_s_000755,2
rana_temporaria_s_001087,6
bufo_s_000136,6
estate_car_s_000529,1
aerial_ladder_truck_s_000997,9
toy_spaniel_s_000384,5
amphibious_aircraft_s_001195,0
fallow_deer_s_001598,4
quarter_horse_s_000414,7
anuran_s_000712,6
arabian_s_001366,7
auto_s_000040,1
cargo_ship_s_001063,8
motorcar_s_000121,1
motorcar_s_000305,1
anthus_pratensis_s_001071,2
cruiser_s_000294,8
wagon_s_000763,1
alley_cat_s_002579,3
tabby_cat_s_000825,3
spadefoot_s_000051,6
wagtail_s_002075,2
